calibration_budget,method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
0,adaptive_scmp,200,0.6,0.06789639165669999,0.09454590142734753,0.136814789633444,8.93,25.512408786216497,0.4154051942981182,0.03,0.0
0,guarded_scmp,200,0.525,0.06920978976994512,0.09510196720102647,0.15272987597908358,11.705,29.83116279844221,0.37138941276508136,0.01,0.0
0,mean_gain,200,0.565,0.0687084143318706,0.09016617574203431,0.15385933849309366,11.515,27.920937013219042,0.385267886089444,0.04,0.0
0,robust_scmp,200,0.605,0.06775124943497352,0.08838289856857427,0.14693340222637807,14.11,30.107143310070004,0.3519931522755283,0.105,0.0
0,scmp_estimated,200,0.55,0.06894911166940441,0.0955005056111117,0.1498866173847422,9.81,28.304300680392736,0.37805145747752733,0.04,0.0
0,scmp_true,200,0.915,0.03865103103411342,0.05343353460579113,0.057235692978200026,0.0,20.749840653192212,0.37386874018185373,0.675,0.0
0,signed_fixed,200,0.625,0.06709601329438285,0.08558662809630466,0.132084807317846,8.915,25.592565393062902,0.4059907324895546,0.0,0.0
0,symmetric_derating,200,0.67,0.06516815786870149,0.07423914106312267,0.11481045321751733,5.81,21.8481014055733,0.4537932180454534,0.005,0.0
4,adaptive_scmp,200,0.795,0.05595019034820167,0.07267231048288172,0.09285739693364943,7.45,23.22090190877233,0.374814707384064,0.485,0.0
4,guarded_scmp,200,0.485,0.0692652741278052,0.12159494319245287,0.2310882775590457,15.88,30.662723786542077,0.4184612591384297,1.08,0.0
4,mean_gain,200,0.785,0.056937072281598736,0.07591643622719375,0.16514661002670333,7.215,25.220731320491506,0.30859223431697297,0.705,0.0
4,robust_scmp,200,0.805,0.05491061645984317,0.07133541081206714,0.10618977900871117,5.875,23.120829183123515,0.3521116643850962,0.465,0.0
4,scmp_estimated,200,0.795,0.05595019034820167,0.07408883065380921,0.08955264762102308,8.96,22.787758897831626,0.3780933349898692,0.47,0.0
4,scmp_true,200,0.87,0.04660927804632893,0.06317705883245159,0.06721011716090383,0.0,22.423382080000557,0.35789838049812817,0.645,0.0
4,signed_fixed,200,0.715,0.06256284999902098,0.07656266116334956,0.12771966895473574,13.415,31.679418819719377,0.32487100594374346,0.0,0.0
4,symmetric_derating,200,0.525,0.06920978976994512,0.1139033038216751,0.22097338576248604,15.2,31.607539275566232,0.393634086596167,1.2,0.0
8,adaptive_scmp,200,0.875,0.04583530298798078,0.0661446873047926,0.06614893297536767,5.705,19.031488853011844,0.42231131029998503,0.49,0.0
8,guarded_scmp,200,0.5,0.06929646455628166,0.10820746941648687,0.2178108564302128,10.94,29.136386202054396,0.43897375000150474,1.11,0.0
8,mean_gain,200,0.81,0.05437013150618636,0.0657118093948887,0.16439457325665432,5.895,24.401515089879204,0.2961871874320911,0.695,0.0
8,robust_scmp,200,0.83,0.05206004994235024,0.06577818672466354,0.09593417629193614,6.335,20.65166697243886,0.38032330580004875,0.525,0.0
8,scmp_estimated,200,0.82,0.053245664612248014,0.06815134137691363,0.07162771660544237,6.315,19.999577356084707,0.4038665823770471,0.43,0.0
8,scmp_true,200,0.925,0.03650417784309077,0.05602342142479208,0.0489258321766903,0.0,18.681291302914918,0.4058035631303551,0.65,0.0
8,signed_fixed,200,0.64,0.06652460597403038,0.0884041685574229,0.1462098491594032,18.215,39.22781406377785,0.2761289489060046,0.0,0.0
8,symmetric_derating,200,0.58,0.06840371919713138,0.10818537699445241,0.21464545562534654,13.155,30.12065937380155,0.410189190905333,0.95,0.0
16,adaptive_scmp,200,0.78,0.05741160858223709,0.07883734912989321,0.09188800372711516,9.135,24.051387855603853,0.3774599260054407,0.53,0.0
16,guarded_scmp,200,0.46,0.0690743599318879,0.11348002984113972,0.2286537560982873,16.475,32.850618657136124,0.41956317713749836,1.5,0.0
16,mean_gain,200,0.845,0.05015743015745524,0.06402853019459298,0.15271592853752114,5.55,21.812950892150806,0.3159243100824322,0.545,0.0
16,robust_scmp,200,0.81,0.05437013150618636,0.06401784691988768,0.1050950177017582,8.37,24.579538888914616,0.3400054279930301,0.48,0.0
16,scmp_estimated,200,0.835,0.05144299952374473,0.06797291743537678,0.07954452873715905,7.63,22.182392415942385,0.3974300513996548,0.47,0.0
16,scmp_true,200,0.905,0.040637517148566046,0.057284731758204546,0.06234754019827925,0.0,21.6983626821598,0.3513561950641399,0.675,0.0
16,signed_fixed,200,0.77,0.058324409984156715,0.07418942082064307,0.12403041273154948,14.76,33.892614391492764,0.31047653982357787,0.0,0.0
16,symmetric_derating,200,0.49,0.06928260387716385,0.11537442882541805,0.21941894389740263,15.83,32.717424339682914,0.4026036244670972,1.36,0.0
32,adaptive_scmp,200,0.835,0.05144299952374473,0.06572252892199056,0.0789419221951274,6.32,20.418359560338832,0.401013751665127,0.47,0.0
32,guarded_scmp,200,0.795,0.05595019034820167,0.06748114586895448,0.09177302637829562,8.89,23.149002165028627,0.38201475389625456,0.495,0.0
32,mean_gain,200,0.825,0.052660753887501466,0.06458806299478251,0.16053318657242407,7.695,22.97083047114026,0.30880626618247786,0.63,0.0
32,robust_scmp,200,0.825,0.052660753887501466,0.06812427839911431,0.09599657802062002,5.92,21.398182749158423,0.37107651024987914,0.495,0.0
32,scmp_estimated,200,0.85,0.04948757419797418,0.06482709360746898,0.07270811191836765,6.58,20.2402657690794,0.4024298556863434,0.45,0.0
32,scmp_true,200,0.875,0.04583530298798078,0.06471296337078382,0.06380281844439376,0.0,22.739452267162086,0.3695144138305406,0.75,0.0
32,signed_fixed,200,0.71,0.06288821193196702,0.08123791043390853,0.13030893841486496,14.255,34.35987008588339,0.29970051368349543,0.0,0.0
32,symmetric_derating,200,0.555,0.06887594500259143,0.11434245667038098,0.2152184190722707,14.82,31.99521996593173,0.37440713869087844,1.1,0.0
64,adaptive_scmp,200,0.805,0.05491061645984317,0.07401782630408213,0.09262083424028328,8.045,22.973571852612366,0.3792813762761966,0.5,0.0
64,guarded_scmp,200,0.82,0.053245664612248014,0.07175573056362002,0.08114095452667926,6.985,22.26866850113304,0.3910699951213589,0.465,0.0
64,mean_gain,200,0.85,0.04948757419797418,0.06190167954088058,0.15092566605997385,5.52,22.23519112196786,0.31325496594019236,0.595,0.0
64,robust_scmp,200,0.78,0.05741160858223709,0.07198943284448087,0.11041395074507099,7.37,24.161166690908818,0.3488208326989555,0.495,0.0
64,scmp_estimated,200,0.82,0.053245664612248014,0.06350040520518371,0.07962216355227054,5.485,21.678065567670075,0.3972975934574901,0.43,0.0
64,scmp_true,200,0.9,0.04157787873376899,0.05720439709248062,0.06673324794693741,0.0,23.436474751673874,0.3526722447852155,0.795,0.0
64,signed_fixed,200,0.685,0.06437861601494707,0.08544431321693789,0.13477694721522002,15.175,35.25586320539197,0.2899493987119736,0.0,0.0
64,symmetric_derating,200,0.48,0.06924100519201032,0.1197091430495233,0.228883944706699,14.415,32.39756499344034,0.4031246537736049,1.25,0.0
128,adaptive_scmp,200,0.825,0.052660753887501466,0.06797343451941314,0.08543415724035337,9.605,22.17620067603999,0.3861074703332196,0.445,0.0
128,guarded_scmp,200,0.855,0.048798686457731624,0.0600892321977169,0.0757755407876544,7.315,19.8018724272941,0.4087061640629754,0.49,0.0
128,mean_gain,200,0.825,0.052660753887501466,0.06249222778932118,0.15374774226103705,6.555,22.634706597771913,0.3071080945921337,0.71,0.0
128,robust_scmp,200,0.82,0.053245664612248014,0.0623699333339756,0.0977688884887019,6.285,21.688435059444306,0.3762232146132206,0.505,0.0
128,scmp_estimated,200,0.865,0.04736047085914581,0.05891932021071415,0.0669738282859702,7.045,18.926104383539904,0.4098406349269662,0.375,0.0
128,scmp_true,200,0.93,0.035361572363230676,0.05463372337003345,0.057398745004592605,0.0,20.626238534721406,0.3823788880894131,0.605,0.0
128,signed_fixed,200,0.785,0.056937072281598736,0.07132482255965825,0.11030380686792536,12.7,29.48544401924164,0.33255141160788604,0.0,0.0
128,symmetric_derating,200,0.51,0.06928260387716385,0.11136312604372069,0.22169111241125844,13.465,30.22663504913326,0.42112396772215344,1.06,0.0
256,adaptive_scmp,200,0.855,0.048798686457731624,0.06399534367774262,0.07739273405062264,7.955,21.533981286998905,0.38453639327547195,0.53,0.0
256,guarded_scmp,200,0.82,0.053245664612248014,0.06735746380123722,0.07727255298121624,6.43,20.981119961476697,0.4084488216002248,0.49,0.0
256,mean_gain,200,0.81,0.05437013150618636,0.06487969515764176,0.16423843222606252,7.185,24.021270867248717,0.30144237047415695,0.64,0.0
256,robust_scmp,200,0.825,0.052660753887501466,0.06579035143707626,0.10086527905913155,6.7,23.2288109493187,0.34921296222836984,0.53,0.0
256,scmp_estimated,200,0.83,0.05206004994235024,0.06109265481966357,0.08057340738339576,7.72,22.361482698004092,0.38093361620795085,0.535,0.0
256,scmp_true,200,0.94,0.032913997022543474,0.05194333601458433,0.05401336584047387,0.0,19.66582510066544,0.37130779031252836,0.605,0.0
256,signed_fixed,200,0.715,0.06256284999902098,0.07923285205949646,0.1321716232121268,13.485,36.1391553580713,0.2913097172072665,0.0,0.0
256,symmetric_derating,200,0.53,0.06917161845728347,0.10826495639903606,0.21234322873971537,14.17,31.852026974904202,0.39971563241170016,1.27,0.0
