noise_level,method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
0.0,adaptive_scmp,60,0.8833333333333333,0.08122994339345378,0.058540887482616336,0.07914763264887895,0.0,24.56086498523008,0.3208547022545847,0.7666666666666667,0.0
0.0,guarded_scmp,60,0.9333333333333333,0.06311799649451398,0.04875639211801843,0.05095909311365172,0.0,18.82635284149298,0.4030882664032312,0.75,0.0
0.0,mean_gain,60,0.9166666666666666,0.06993515515051016,0.057928668966978285,0.15642238401729042,0.0,21.472524803082667,0.2631998493421495,0.8,0.0
0.0,robust_scmp,60,0.9333333333333333,0.06311799649451398,0.05559170173181147,0.06792150681658518,0.0,17.881325925309067,0.37822550378145064,0.6166666666666667,0.0
0.0,scmp_estimated,60,0.9166666666666666,0.06993515515051016,0.0638146386637534,0.06647377363807297,0.0,23.40886434342896,0.3378585940739608,0.6666666666666666,0.0
0.0,scmp_true,60,0.8833333333333333,0.08122994339345378,0.06489361093941731,0.07069783218617422,0.0,22.953191570002847,0.361573341926973,0.6666666666666666,0.0
0.0,signed_fixed,60,0.75,0.10956733089748968,0.08180824602072505,0.12891591669567196,0.0,39.985615102799464,0.24636056708786608,0.0,0.0
0.0,symmetric_derating,60,0.48333333333333334,0.1264471489654135,0.09801129436895922,0.2419335292146246,0.0,33.29109019474918,0.384193825826503,1.4,0.0
0.25,adaptive_scmp,60,0.9,0.07591047358566537,0.054273969797496685,0.06627693064881073,8.6,23.649371549155443,0.33132356218632764,0.7666666666666667,0.0
0.25,guarded_scmp,60,0.9333333333333333,0.06311799649451398,0.05260215460897444,0.05650066269830266,6.45,19.023493490626983,0.396352073977832,0.43333333333333335,0.0
0.25,mean_gain,60,0.9333333333333333,0.06311799649451398,0.05414854829232869,0.1603220485444887,5.733333333333333,21.49645683104124,0.2861036451309181,0.8666666666666667,0.0
0.25,robust_scmp,60,0.8833333333333333,0.08122994339345378,0.06554856328476139,0.08297938356255585,0.0,18.762864104091967,0.3744891434239734,0.65,0.0
0.25,scmp_estimated,60,0.95,0.05514768051937152,0.05204973957376619,0.044661581938973884,5.716666666666667,17.401138686892615,0.41548723097585116,0.6166666666666667,0.0
0.25,scmp_true,60,0.85,0.0903515356814703,0.06503582980517891,0.059926232619635526,6.933333333333334,21.064165167346292,0.3791893337923256,0.6833333333333333,0.0
0.25,signed_fixed,60,0.7833333333333333,0.10424369596358404,0.07050809305506567,0.13227943226805872,18.633333333333333,42.209716773303406,0.23316329657964063,0.0,0.0
0.25,symmetric_derating,60,0.45,0.12588327927091827,0.12692683026653165,0.24910897438284704,14.083333333333334,30.814340999659695,0.41908845074265677,1.4833333333333334,0.0
0.5,adaptive_scmp,60,0.8666666666666667,0.08601533024430608,0.05870387883302472,0.06727272714104662,7.966666666666667,22.268266093830597,0.371604839767741,0.8333333333333334,0.0
0.5,guarded_scmp,60,0.9166666666666666,0.06993515515051016,0.051882661438848204,0.06684478946840337,7.016666666666667,19.99571153978697,0.42076250274533644,0.7166666666666667,0.0
0.5,mean_gain,60,0.9333333333333333,0.06311799649451398,0.050435336512586866,0.15646176908165663,5.666666666666667,20.62568248808748,0.2817271993451483,0.9333333333333333,0.0
0.5,robust_scmp,60,0.8833333333333333,0.08122994339345378,0.05896856419754728,0.09315300254873707,0.0,23.009119517489697,0.3259447666592757,0.8166666666666667,0.0
0.5,scmp_estimated,60,0.9,0.07591047358566537,0.05526496378015631,0.07535541430751165,8.833333333333334,23.171919734893443,0.3356112020964885,0.7666666666666667,0.0
0.5,scmp_true,60,0.9,0.07591047358566537,0.05887856849530899,0.07583951416452102,7.9,20.66575055979921,0.39535033409119863,0.6,0.0
0.5,signed_fixed,60,0.8333333333333334,0.09430054396763886,0.07809394903537385,0.11167613693525077,14.183333333333334,34.22161256871832,0.2958170824477298,0.0,0.0
0.5,symmetric_derating,60,0.55,0.12588327927091827,0.10787244156265947,0.23523814235172774,13.9,29.90960438461458,0.42099880423326,1.8833333333333333,0.0
0.75,adaptive_scmp,60,0.9333333333333333,0.06311799649451398,0.058072738801015496,0.06084484148039841,6.266666666666667,19.385625264027922,0.37258876742853353,0.7666666666666667,0.0
0.75,guarded_scmp,60,0.9666666666666667,0.045421156760715384,0.048497471187961425,0.0563874040457742,5.55,17.364148098973445,0.4034246851371106,0.4666666666666667,0.0
0.75,mean_gain,60,0.9,0.07591047358566537,0.05704715095140929,0.1665586524222237,8.7,26.045223986943377,0.23821689147767713,1.4166666666666667,0.0
0.75,robust_scmp,60,0.85,0.0903515356814703,0.07235039719823438,0.09413091318816766,0.06666666666666667,21.639838800445336,0.3544148761957973,0.8333333333333334,0.0
0.75,scmp_estimated,60,0.9,0.07591047358566537,0.05957899170082897,0.0714792047456619,6.483333333333333,19.390368332296557,0.39079487319280853,0.7166666666666667,0.0
0.75,scmp_true,60,0.9333333333333333,0.06311799649451398,0.054893065333210915,0.08068056347793279,8.05,22.12211325457685,0.34714089695392275,0.7333333333333333,0.0
0.75,signed_fixed,60,0.8333333333333334,0.09430054396763886,0.061657825051701934,0.11561428473223936,15.483333333333333,35.29484310593371,0.28725542137193477,0.0,0.0
0.75,symmetric_derating,60,0.5666666666666667,0.12538781321844522,0.09305953850875609,0.23484499703034398,14.4,30.78903190975246,0.42798281973067837,1.7666666666666666,0.0
1.0,adaptive_scmp,60,0.95,0.05514768051937152,0.05004741132667809,0.07147076819588574,7.066666666666666,19.73474353274971,0.3854640725517336,0.9666666666666667,0.0
1.0,guarded_scmp,60,0.95,0.05514768051937152,0.050446064735091625,0.06361447749562728,5.933333333333334,17.65374450585735,0.39336412702515167,0.6166666666666667,0.0
1.0,mean_gain,60,0.85,0.0903515356814703,0.06786290077346195,0.16983835988184337,8.65,24.693113930017677,0.28389668099753235,1.9166666666666667,0.0
1.0,robust_scmp,60,0.9166666666666666,0.06993515515051016,0.05948859791262705,0.08877599236077002,0.36666666666666664,19.813542023104755,0.3349119526434382,1.1833333333333333,0.0
1.0,scmp_estimated,60,0.95,0.05514768051937152,0.048214606492695246,0.07460983168734829,7.75,21.64812794129084,0.35723270886886827,1.0833333333333333,0.0
1.0,scmp_true,60,0.9166666666666666,0.06993515515051016,0.05247568364504266,0.0752742636305632,6.85,20.828443982648633,0.37098333446702114,0.7333333333333333,0.0
1.0,signed_fixed,60,0.7666666666666667,0.10702177002488446,0.08495462124333703,0.12893159517006547,17.6,39.8440540059814,0.28380541350044386,0.0,0.0
1.0,symmetric_derating,60,0.48333333333333334,0.1264471489654135,0.11607929336135654,0.24719827083493834,16.533333333333335,34.79766785043759,0.4404327112863183,2.9,0.0
